English,Vietnamese
frame,khung
cow,bò
giraffe,hươu cao cổ
dryer,máy sấy khô
bus,xe buýt
canoe,ca nô
kitchen,phòng bếp
lettuce,rau xà lách
outside,ngoài
meat,thịt
yard,sân
motorbike,xe máy
river,dòng sông
cattle,gia súc
bank,ngân hàng
many chairs,nhiều cái ghế
graffiti,vẽ tranh lên tường
cup,tách
lunch,bữa trưa
pipe,đường ống
sign,bảng hiệu
toothbrush,bàn chải đánh răng.
highway,xa lộ
furniture,đồ nội thất
toilet,nhà vệ sinh
cow,con bò
sky,bầu trời
one,một
gloves,găng tay
zebra,ngựa rằn
hose,vòi
buildings,các tòa nhà
bedroom,phòng ngủ
equipment,trang thiết bị
sun,mặt trời
snowboard,ván trượt tuyết
white,màu trắng
scooter,xe tay ga
barn,chuồng trại
door,cửa
backpack,balo
curtain,màn
scissors,cây kéo
wallet,cái ví
television,truyền hình
water,nước
tool,công cụ
seagull,hải âu
racket,vợt
chamber,buồng
dog,con chó
dishes,chén đĩa
basin,chậu
fruit,hoa quả
shorts,quần short
horse,con ngựa
box,hộp
bull,bò đực
roll,lăn tròn
coffee,cà phê
banknotes,giấy bạc
sailboat,thuyền buồm
bridge,cầu
spectacles,kính đeo
keyboard,bàn phím
tie,cà vạt
cigarette,thuốc lá
pole,cây sào
red,màu đỏ
ten,mười
ball,quả bóng
pug,pug
case,trường hợp
dress,đầm
computer,máy vi tính
bathroom,nhà tắm
zoo,vườn bách thú
oar,mái chèo
meal,bữa ăn
restaurant,quán ăn
seven,bảy
bucket,gầu múc
coat,áo khoác
fish,cá
stick,cây gậy
falcon,chim ưng
freezer,tủ đông
train,tàu hoả
blender,máy xay
train,tàu hỏa
color,màu sắc
shop,cửa hàng
freezer,tủ đá
swimming pool,hồ bơi
sheep,con cừu
dish,món ăn
office,văn phòng
slice,lát cắt
hill,đồi
vase,bình hoa
orange,cam
box,thùng
plate,đĩa
bed,giường
rack,giá đỡ
table,cái bàn
trunk,thân cây
ingredient,thành phần
picture,bức ảnh
monument,tượng đài
bag,túi
grey,màu xám
turkey,gà tây
plane,máy bay
candle,nến
nine,chín
tower,tòa tháp
racetrack,đường đua
street,đường phố
apron,tạp dề
station,trạm
brush,bàn chải
surfboard,ván lướt sóng
oranges,những quả cam
helicopter,máy bay trực thăng
subway,xe điện ngầm
desk lamp,đèn để bàn
umbrella,chiếc ô
purple,màu tía
painting,bức tranh
leaf,lá
sculpture,điêu khắc
sink,chìm xuống
flag,cờ
classroom,lớp học
drink,đồ uống
shirt,áo sơ mi
telephone,điện thoại
fork,dĩa
blue,màu xanh dương
mouse,chuột
tree,cây
helmet,mũ bảo hiểm
curtain,bức màn
wheelchair,xe lăn
goat,con dê
television,vô tuyến
cash register,quầy tính tiền
parrot,con vẹt
holder,người giữ
yellow,màu vàng
container,thùng chứa
broccoli,bông cải xanh
drawer,ngăn kéo
cupcake,cupcake
bicycle,xe đạp
chair,cái ghế
four,bốn
wine,rượu
fridge,tủ lạnh
brown,màu nâu
vegetables,rau quả
stage,sân khấu
library,thư viện
pizza,pizza
barrier,rào chắn
bathroom,phòng tắm
basket,giỏ
door,cửa ra vào
poles,ba lan
orange,màu cam
couch,đi văng
frisbee,dĩa nhựa
camera,máy ảnh
doorway,ô cửa
claw,móng vuốt
vase,bình
bench,băng ghế
coat,áo choàng
cat,con mèo
bowl,bát
hay,cỏ khô
shelf,cái kệ
building,tòa nhà
luggage,hành lý
corridor,hành lang
sandwich,sandwich
transport,phương tiện giao thông
house,nhà ở
chocolate,sô cô la
cheese,phô mai
microwave,lò vi sóng
wheel,bánh xe
marina,bến du thuyền
stove,bếp
flower,bông hoa
kite,diều
compartment,ngăn
table,bảng
dessert,món tráng miệng
fruit,trái cây
stall,gian hàng
donut,donut
beer,bia
vegetables,rau
apple,táo
flag,lá cờ
lawn,bãi cỏ
dinner,bữa ăn tối
bear,gấu
equipment,thiết bị
engine,động cơ
gearbox,hộp số
plate,đĩa ăn
railway,đường sắt
tray,cái mâm
tank,áo ba lỗ
wall,tường
computer,máy tính
stick,gậy
brick,gạch
rose,hoa hồng
mask,mặt nạ
packaging,bao bì
eye,mắt
side,bên
wagon,toa xe
pan,chảo
track,theo dõi
slope,con dốc
hamburger,bánh hamburger
jar,cái lọ
ocean,đại dương
garage,ga-ra
garden,sân vườn
tram,xe điện
zebra,ngựa vằn
tap,vòi nước
tiled,lát gạch
house,nhà
black,màu đen
baseball cap,mũ lưỡi trai
pictures,những bức ảnh
flower vase,lọ cắm hoa
outdoor,ngoài trời
towel,khăn
green,màu xanh lá
breakfast,điểm tâm
knife,dao
hat,mũ
face,mặt
carrot,cà rốt
hat,nón
trailer,đoạn phim giới thiệu
hotdog,hotdog
vehicle,xe cộ
fireplace,lò sưởi
mirror,gương
road markings,vạch kẻ đường
skateboard,ván trượt
clock,đồng hồ
sign,dấu hiệu
cake,bánh ngọt
urine,nước tiểu
plate,dĩa 
road,đường
photograph,ảnh chụp
